2016 Federal Election House of Representatives Votes By Division [Event:20499 Phase:FinalResults Generated:2017-05-11T17:34:39 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
244,Pearce,WA,104392,72122,8024,572,3403,7061,91182,87.35
245,Perth,WA,98714,69571,6091,564,3570,7109,86905,88.04
175,Petrie,QLD,105390,77823,3807,185,2753,12111,96679,91.73
189,Port Adelaide,SA,113346,85525,6671,803,1704,7233,101936,89.93
176,Rankin,QLD,101700,73998,4123,336,2727,9464,90648,89.13
144,Reid,NSW,105459,78790,4836,375,3435,7909,95345,90.41
145,Richmond,NSW,112715,90256,2073,248,3841,5728,102146,90.62
250,Riverina,NSW,111026,92788,2878,241,3196,4601,103704,93.41
146,Robertson,NSW,108435,86074,4427,275,2802,6741,100319,92.52
177,Ryan,QLD,105037,74640,5727,223,4062,12430,97082,92.43
232,Scullin,VIC,110570,80221,4825,484,4122,11190,100842,91.2
148,Shortland,NSW,110100,89638,4499,369,2299,6078,102883,93.45
307,Solomon,NT,69998,50555,973,249,3234,3654,58665,83.81
246,Stirling,WA,98571,68801,6486,545,3038,7608,86478,87.73
190,Sturt,SA,104742,80058,5578,405,1868,8779,96688,92.31
247,Swan,WA,97268,64690,6701,475,5589,7009,84464,86.84
149,Sydney,NSW,110302,72328,7444,636,5685,7410,93503,84.77
248,Tangney,WA,94025,69241,4890,320,3950,7347,85748,91.2
191,Wakefield,SA,112251,86188,5411,662,2175,6967,101403,90.34
233,Wannon,VIC,99155,77789,2725,174,4799,7449,92936,93.73
151,Warringah,NSW,102645,76568,4915,220,2775,7799,92277,89.9
251,Watson,NSW,105422,79120,5340,750,3066,4884,93160,88.37
152,Wentworth,NSW,102782,70019,4751,357,3830,9684,88641,86.24
153,Werriwa,NSW,108557,86095,4673,508,1946,4720,97942,90.22
150,Whitlam,NSW,112051,93549,3597,358,1991,4574,104069,92.88
178,Wide Bay,QLD,102856,79037,3177,131,3560,8712,94617,91.99
234,Wills,VIC,113851,79320,5864,374,5684,9673,100915,88.64
316,Wright,QLD,99969,70581,5412,200,3877,12228,92298,92.33
